episode,coverage,return,adv,phase,loss_pi,loss_v,episode_seconds,total_seconds
208,0.84000,-5.08618,-0.16955,lurigancho_fixed,-0.303826,46.238297,233.038,56786.402
209,0.82000,-5.56081,-0.59961,lurigancho_fixed,-0.029725,0.259289,229.009,57015.414
210,0.72000,-5.92446,-0.92961,lurigancho_fixed,-0.159617,1.769637,229.704,57245.120
211,0.48000,-5.36257,-0.10505,lurigancho_fixed,0.420808,17.861506,241.058,57486.181
212,0.36000,-4.63785,0.43930,lurigancho_fixed,0.092628,0.026880,249.585,57735.768
213,0.78000,-5.66036,-0.86255,lurigancho_fixed,-0.004469,1052.111206,237.610,57973.380
214,0.66000,-5.84650,-0.82243,lurigancho_fixed,-0.449014,21.467260,233.652,58207.034
215,0.80000,-5.68546,-0.55988,lurigancho_fixed,0.162877,26.425335,236.113,58443.148
216,0.46000,-5.34968,0.00555,lurigancho_fixed,-0.795225,100.063766,236.277,58679.428
217,0.72000,-5.37788,-0.16994,lurigancho_fixed,0.360871,103.428421,243.232,58922.664
218,0.62000,-5.16063,-0.04714,lurigancho_fixed,0.019327,0.001570,241.891,59164.561
219,0.58000,-5.14318,-0.18236,lurigancho_fixed,0.021091,0.008945,236.456,59401.019
220,0.58000,-5.06985,-0.25952,lurigancho_fixed,0.063016,0.015479,237.012,59638.033
221,0.84000,-5.60443,-0.92158,lurigancho_fixed,-0.073295,0.208943,236.269,59874.304
222,0.78000,-5.39897,-0.46468,lurigancho_fixed,-0.285278,14.042777,240.714,60115.020
223,0.68000,-5.13344,-0.10959,lurigancho_fixed,-0.011703,0.034088,216.164,60331.186
224,0.78000,-5.62495,-0.76685,lurigancho_fixed,-0.027373,0.150250,238.774,60569.963
225,0.78000,-5.34503,-0.25249,lurigancho_fixed,-0.286785,2.815706,247.653,60817.619
226,0.80000,-5.06767,0.01656,lurigancho_fixed,-0.044697,0.420678,240.022,61057.643
227,0.72000,-5.70758,-0.72528,lurigancho_fixed,-0.190046,2.235998,233.314,61290.959
228,0.60000,-5.17797,0.03224,lurigancho_fixed,0.040148,0.012114,256.435,61547.397
229,0.66000,-5.69940,-0.68081,lurigancho_fixed,-0.013959,0.012171,258.095,61805.522
230,0.56000,-5.16932,-0.22171,lurigancho_fixed,0.019696,0.004603,285.130,62090.655
231,0.42000,-4.80380,-0.00566,lurigancho_fixed,0.040256,0.063508,281.960,62372.618
232,0.44000,-4.67477,-0.10771,lurigancho_fixed,-0.267760,4.062631,286.796,62659.416
233,0.44000,-4.66655,-0.19392,lurigancho_fixed,0.067447,0.035752,282.527,62941.945
234,0.46000,-4.87496,-0.50484,lurigancho_fixed,-0.276665,30.654114,290.263,63232.212
235,0.54000,-4.25809,0.08316,lurigancho_fixed,-0.148341,1.405075,282.638,63514.852
236,0.40000,-4.00025,0.25991,lurigancho_fixed,0.594240,76.572922,291.721,63806.575
237,0.48000,-3.99748,0.08377,lurigancho_fixed,0.062021,0.022339,286.370,64092.947
238,0.56000,-4.32654,-0.31764,lurigancho_fixed,0.021286,0.012404,281.897,64374.847
239,0.38000,-3.80192,0.21193,lurigancho_fixed,0.067881,0.023580,286.628,64661.477
240,0.52000,-4.29721,-0.42261,lurigancho_fixed,-0.022012,0.120392,290.485,64951.964
241,0.50000,-4.74965,-0.81316,lurigancho_fixed,0.187684,2.532863,296.291,65248.258
242,0.56000,-4.28106,-0.13832,lurigancho_fixed,0.028240,0.004361,280.463,65528.724
243,0.50000,-4.20159,-0.12081,lurigancho_fixed,0.300635,3.597734,280.921,65809.647
244,0.50000,-4.14996,-0.05158,lurigancho_fixed,-0.210182,1.200993,274.911,66084.560
245,0.56000,-4.50743,-0.57767,lurigancho_fixed,-0.008859,0.038722,271.824,66356.387
246,0.54000,-3.99099,0.12206,lurigancho_fixed,-0.049354,0.326525,267.686,66624.076
247,0.52000,-4.37009,-0.40725,lurigancho_fixed,0.042288,0.010361,256.599,66880.677
248,0.42000,-3.96363,-0.00914,lurigancho_fixed,0.059371,0.018869,255.610,67136.290
249,0.46000,-3.93401,-0.08228,lurigancho_fixed,-0.456640,11.746904,309.319,67445.611
250,0.58000,-4.34549,-0.51465,lurigancho_fixed,-0.252472,3.175879,306.078,67751.691
251,0.66000,-4.03872,-0.04569,lurigancho_fixed,0.026941,0.006627,281.675,68033.369
252,0.30000,-4.08294,-0.15084,lurigancho_fixed,0.348989,49.022671,192.957,68226.328
253,0.40000,-3.84940,0.07498,lurigancho_fixed,0.057271,0.011405,254.868,68481.200
254,0.66000,-4.64615,-0.79847,lurigancho_fixed,-0.164513,2.014615,265.631,68746.833
255,0.44000,-3.77741,0.28603,lurigancho_fixed,0.117931,0.030351,257.419,69004.257
256,0.48000,-3.90259,0.00175,lurigancho_fixed,-0.141813,1.274227,261.460,69265.720
257,0.50000,-4.01911,-0.17199,lurigancho_fixed,-0.273751,4.608751,287.352,69553.075
258,0.42000,-3.58747,0.23045,lurigancho_fixed,0.065647,0.040958,289.161,69842.238
259,0.54000,-3.75754,-0.07946,lurigancho_fixed,-0.321529,4.305498,275.849,70118.089
260,0.42000,-3.63187,-0.00354,lurigancho_fixed,-0.947811,77.149765,275.801,70393.895
261,0.46000,-3.83367,-0.28180,lurigancho_fixed,0.025632,0.000810,275.844,70669.741
262,0.32000,-3.42863,0.18670,lurigancho_fixed,0.085848,0.029540,297.098,70966.842
263,0.72000,-3.34800,0.18048,lurigancho_fixed,-0.243144,4.431618,311.383,71278.231
264,0.50000,-3.51220,-0.15687,lurigancho_fixed,-0.428595,17.932814,273.603,71551.836
