episode,coverage,return,adv,phase,loss_pi,loss_v,episode_seconds,total_seconds
249,0.78000,8.75557,1.21635,lurigancho_random,-0.096602,48.211666,45.566,10364.773
250,0.74000,7.48291,-0.34682,lurigancho_random,-0.225360,55.110340,46.254,10411.028
251,0.48000,7.42122,-0.21033,lurigancho_random,-0.163312,45.142441,44.458,10455.487
252,0.60000,7.79704,0.24584,lurigancho_random,-0.380918,51.592518,45.767,10501.257
253,0.66000,7.58743,-0.04003,lurigancho_random,0.130686,13.597940,44.295,10545.553
254,0.02000,5.73984,-1.76735,lurigancho_random,-0.033958,4.415610,45.217,10590.771
255,0.52000,7.55176,0.34054,lurigancho_random,-0.104654,54.968422,44.662,10635.435
256,0.72000,8.00597,0.55444,lurigancho_random,-0.241582,80.752571,45.944,10681.381
257,0.46000,7.68765,0.05762,lurigancho_random,0.058987,29.136236,45.286,10726.668
258,0.62000,7.73676,0.09687,lurigancho_random,0.022919,19.813841,44.560,10771.229
259,0.52000,7.79629,-0.00341,lurigancho_random,0.024679,12.555710,45.630,10816.862
260,0.66000,8.03678,0.23035,lurigancho_random,0.021468,40.042622,44.436,10861.299
261,0.78000,8.20042,0.15378,lurigancho_random,-0.014868,19.901562,45.052,10906.354
262,0.76000,8.75436,0.65820,lurigancho_random,-0.118872,29.058535,44.419,10950.775
263,0.66000,8.42198,0.05049,lurigancho_random,-0.003243,99.828415,38.485,10989.261
264,0.70000,8.39858,-0.01618,lurigancho_random,-0.057259,94.556801,37.293,11026.555
265,0.74000,8.45145,0.07751,lurigancho_random,-0.171269,103.934242,43.500,11070.056
266,0.64000,8.99773,0.53705,lurigancho_random,-0.248963,36.170700,45.531,11115.589
267,0.62000,9.06073,0.32112,lurigancho_random,0.074449,21.181324,45.145,11160.736
268,0.78000,9.07936,0.19065,lurigancho_random,0.089732,26.616558,43.564,11204.301
269,0.80000,9.76250,0.85378,lurigancho_random,-0.034566,92.446892,44.093,11248.396
270,0.86000,10.30327,1.12310,lurigancho_random,0.000248,64.257233,45.722,11294.119
271,0.92000,10.33636,0.86929,lurigancho_random,-0.105138,60.030746,44.242,11338.363
272,0.92000,10.82959,1.06530,lurigancho_random,0.115038,76.824409,21.886,11360.250
273,0.06000,8.46173,-1.60235,lurigancho_random,-0.003655,8.087022,32.653,11392.904
274,0.80000,10.01222,0.19471,lurigancho_random,-0.039456,89.876747,39.499,11432.403
275,0.92000,11.15749,1.25378,lurigancho_random,0.154468,15.537318,41.279,11473.683
276,0.88000,11.35085,1.15850,lurigancho_random,-0.198338,84.345963,41.416,11515.100
277,0.84000,10.92313,0.43264,lurigancho_random,0.081401,48.941250,41.469,11556.570
278,1.00000,12.01834,1.34090,lurigancho_random,-0.139410,58.880989,41.458,11598.030
279,0.92000,10.25373,-0.73711,lurigancho_random,0.223407,50.868343,41.573,11639.604
280,0.94000,11.49865,0.76159,lurigancho_random,0.088546,52.869740,41.759,11681.364
281,0.80000,11.39802,0.43941,lurigancho_random,0.013891,35.091919,41.550,11722.915
282,0.90000,11.79452,0.87560,lurigancho_random,-0.263878,66.574150,42.248,11765.165
283,0.92000,12.13719,0.94710,lurigancho_random,0.153988,32.240437,42.426,11807.591
284,0.88000,11.93876,0.46419,lurigancho_random,-0.031289,26.013538,42.842,11850.434
285,0.92000,12.59052,0.92472,lurigancho_random,-0.010891,66.524910,42.284,11892.719
286,0.84000,12.57930,0.63155,lurigancho_random,-0.165544,53.651012,42.482,11935.203
